Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI
Sorbitol	Metabolite	hmdb:HMDB0000247							chebi:17924;chebi:17924	inchikey:FBPFZTCFMRRESA-JGWLITMVSA-N
D-Glucose	Metabolite	hmdb:HMDB0000122							chebi:15903;chebi:15903	inchikey:WQZGKKKJIJFFOK-VFUOTHLCSA-N
D-Fructose	Metabolite	hmdb:HMDB0000660							chebi:28645;chebi:28645	inchikey:RFSUNEUAIZKAJO-ARQDHWQXSA-N
Dihydroxyacetone phosphate	Metabolite	hmdb:HMDB0001473							chebi:16108;chebi:16108	inchikey:GNGACRATGGDKBX-UHFFFAOYSA-N
Glyceraldehyde	Metabolite	hmdb:HMDB0001051							chebi:5445;chebi:5445	inchikey:MNQZXJOMYWMBOU-UHFFFAOYSA-N
Fructose 1-phosphate	Metabolite	hmdb:HMDB0001076							chebi:139419;chebi:139419	inchikey:RHKKZBWRNHGJEZ-ARQDHWQXSA-N
D-Glyceraldehyde 3-phosphate	Metabolite	hmdb:HMDB0001112							chebi:29052;chebi:29052	inchikey:LXJXRIRHZLFYRP-VKHMYHEASA-N
khk	GeneProduct	ensembl:ENSDARG00000029874		ensembl:ENSDARG00000029874	ncbigene:436909		uniprot:X1WCE9;uniprot:Q6DHM7;uniprot:F1QCR8;uniprot:X1WC79			
aldob	GeneProduct	ensembl:ENSDARG00000053684		ensembl:ENSDARG00000053684	ncbigene:321664		uniprot:E9QF34;uniprot:A0A0R4IU94;uniprot:A0A2R8QH08;uniprot:E9QBQ4;uniprot:Q8JH71			
akr1b1	GeneProduct	ncbigene:415138		ensembl:ENSDARG00000006215	ncbigene:415138		uniprot:A0A2R8QK40;uniprot:Q5TYY5			
sord	GeneProduct	ensembl:ENSDARG00000053405		ensembl:ENSDARG00000053405	ncbigene:570613		uniprot:F8W291;uniprot:F1Q713			
