Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI
Sorbitol	Metabolite	hmdb:HMDB0000247							chebi:17924;chebi:17924	inchikey:FBPFZTCFMRRESA-JGWLITMVSA-N
D-Glucose	Metabolite	hmdb:HMDB0000122							chebi:15903;chebi:15903	inchikey:WQZGKKKJIJFFOK-VFUOTHLCSA-N
D-Fructose	Metabolite	hmdb:HMDB0000660							chebi:28645;chebi:28645	inchikey:RFSUNEUAIZKAJO-ARQDHWQXSA-N
Dihydroxyacetone phosphate	Metabolite	hmdb:HMDB0001473							chebi:16108;chebi:16108	inchikey:GNGACRATGGDKBX-UHFFFAOYSA-N
Glyceraldehyde	Metabolite	hmdb:HMDB0001051							chebi:5445;chebi:5445	inchikey:MNQZXJOMYWMBOU-UHFFFAOYSA-N
Fructose 1-phosphate	Metabolite	hmdb:HMDB0001076							chebi:139419;chebi:139419	inchikey:RHKKZBWRNHGJEZ-ARQDHWQXSA-N
D-Glyceraldehyde 3-phosphate	Metabolite	hmdb:HMDB0001112							chebi:29052;chebi:29052	inchikey:LXJXRIRHZLFYRP-VKHMYHEASA-N
Fructokinase	GeneProduct	ensembl:AGAP002483		ensembl:AGAP002483	ncbigene:3290627		uniprot:Q5TTS3			
ALDOB	GeneProduct	ensembl:AGAP002564		ensembl:AGAP002564	ncbigene:1273402		uniprot:F5HKV6;uniprot:Q7PGI9			
AgaP_AGAP011050	GeneProduct	ncbigene:1269450		ensembl:AGAP011050	ncbigene:1269450		uniprot:Q7PF06			
