Label	Type	Identifier	Database	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI
Acetyl-CoA	Metabolite	cas:72-89-9	Ca:72-89-9:T						wikidata:Q715317	chebi:15351;chebi:15351	inchikey:ZSLZBFCDCINBPY-ZSJPKINUSA-N
Acetoacetyl-CoA	Metabolite	cas:1420-36-6	Ca:1420-36-6:T						wikidata:Q2639429	chebi:15345;chebi:15345	inchikey:OJFDKHTZOUZBOS-CITAKDKDSA-N
3-Hydroxy-3-methylglutaryl-CoA	Metabolite	cas:1553-55-5	Ca:1553-55-5:T						wikidata:Q27108899;wikidata:Q307532	chebi:15467;chebi:11814;chebi:11814;chebi:15467	inchikey:CABVTRNMFUVUDM-SJBCKIPMSA-N;inchikey:CABVTRNMFUVUDM-VRHQGPGLSA-N
Acetyl-CoA	Metabolite	cas:72-89-9	Ca:72-89-9:T						wikidata:Q715317	chebi:15351;chebi:15351	inchikey:ZSLZBFCDCINBPY-ZSJPKINUSA-N
3-Hydroxy-butyrate	Metabolite	pubchem.compound:441	Cpc:441:T						wikidata:Q223092	chebi:20067;chebi:20067	inchikey:WHBMMWSBFZVSSR-UHFFFAOYSA-N
Acetoacetate	Metabolite	pubchem.compound:6971017	Cpc:6971017:T						wikidata:Q21559339	chebi:13705;chebi:13705	inchikey:WDJHALXBUFZDSR-UHFFFAOYSA-M
ACAT1	GeneProduct	ensembl:ENSBTAG00000012885	En:ENSBTAG00000012885:T	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:38							
HMGCS2	GeneProduct	ensembl:ENSBTAG00000003898	En:ENSBTAG00000003898:T	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:3158							
HMGCL	GeneProduct	ensembl:ENSBTAG00000021832	En:ENSBTAG00000021832:T	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:3155							
OXCT1	GeneProduct	ensembl:ENSBTAG00000033186	En:ENSBTAG00000033186:T	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:5019							
BDH1	GeneProduct	ensembl:ENSBTAG00000000448	En:ENSBTAG00000000448:T	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:622							
