Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI
Aflatoxin B1 exo-8,9-epoxide-GSH	Metabolite	pubchem.compound:5460816						wikidata:Q45435642		inchikey:LYDBAPNRLUDIAS-NCQSKUNESA-N
aflatoxin B1	Metabolite	hmdb:HMDB0006552							chebi:2504;chebi:2504	inchikey:OQIQSTLJSLGHID-WNWIJWBNSA-N
Aflatoxin B1 exo-8,9-epoxide	Metabolite	hmdb:HMDB0006558							chebi:30725;chebi:30725	inchikey:KHBXRZGALJGBPA-IRWJRLHMSA-N
Aflatoxin M1	Metabolite	pubchem.compound:15558498						wikidata:Q26998369	chebi:78576;chebi:78576	inchikey:MJBWDEQAUQTVKK-IAGOWNOFSA-N
Aflatoxin Q1	Metabolite	pubchem.compound:104757						wikidata:Q26998366	chebi:78582;chebi:78582	inchikey:GYNOTJLCULOEIM-XKRJZGAWSA-N
Akr7a5	GeneProduct	ensembl:ENSMUSG00000028743		ensembl:ENSMUSG00000028743	ncbigene:110198		uniprot:Q8CG76			
Cyp1a2	GeneProduct	ensembl:ENSMUSG00000032310		ensembl:ENSMUSG00000032310	ncbigene:13077		uniprot:B6VGH4;uniprot:P00186			
Gstt1	GeneProduct	ensembl:ENSMUSG00000001663		ensembl:ENSMUSG00000001663	ncbigene:14871		uniprot:D3Z3X5;uniprot:Q64471;uniprot:D3Z5W7			
Gstm1	GeneProduct	ncbigene:14862		ensembl:ENSMUSG00000058135	ncbigene:14862		uniprot:F6WHQ7;uniprot:P10649;uniprot:A2AE89			
Ephx1	GeneProduct	ensembl:ENSMUSG00000038776		ensembl:ENSMUSG00000038776	ncbigene:13849		uniprot:F6YTS6;uniprot:Q9D379;uniprot:D3Z4M3;uniprot:E9PWK1			
Cyp1a2	GeneProduct	ensembl:ENSMUSG00000032310		ensembl:ENSMUSG00000032310	ncbigene:13077		uniprot:B6VGH4;uniprot:P00186			
Cyp1a2	GeneProduct	ensembl:ENSMUSG00000032310		ensembl:ENSMUSG00000032310	ncbigene:13077		uniprot:B6VGH4;uniprot:P00186			
