Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI	PubChem	ChemSpider	HMDB	KEGG	LipidMaps
HO-CH-(CH2)10-COO-	Metabolite	chebi:39567	""					wikidata:Q27070761	chebi:39567	inchikey:ZDHCZVWCTKTBRY-UHFFFAOYSA-N	pubchem.compound:79034	chemspider:71366	hmdb:HMDB0002059	kegg.compound:C08317	lipidmaps:LMFA01050039
HOC-(CH2)10-COO-	Metabolite	pubchem.compound:3084276	""					wikidata:Q27146732	chebi:77168	inchikey:JOSXCARTDOQGLV-UHFFFAOYSA-N	pubchem.compound:3084276	chemspider:2341369			lipidmaps:LMFA01050044
CH3-(CH2)10-COO-	Metabolite	chebi:30805	""					wikidata:Q422627	chebi:30805	inchikey:POULHZVOKOAJMA-UHFFFAOYSA-N	pubchem.compound:3893	chemspider:3756	hmdb:HMDB0000638	kegg.compound:C02679	lipidmaps:LMFA01010012
-OOC-(CH2)10-COO-	Metabolite	chebi:76273	""					wikidata:Q27145844	chebi:76273	inchikey:TVIDDXQYHWJXFK-UHFFFAOYSA-L	pubchem.compound:6991984	chemspider:5360150			
Cyp2e1	GeneProduct	ncbigene:25086	""	ensembl:ENSRNOG00000012458	ncbigene:25086		uniprot:A0A8I5ZS79;uniprot:A0A8I5ZXI6;uniprot:A0A8L2Q8J4;uniprot:A0A0G2K5X9								
Cyp1a2	GeneProduct	ncbigene:24297	""												
Cyp3a2	GeneProduct	ncbigene:266682	""	ensembl:ENSRNOG00000032560	ncbigene:266682		uniprot:A0A8I6AL74;uniprot:A0A8I5ZZ45;uniprot:A0A0G2JT98								
Cyp2d6	GeneProduct	ncbigene:170518	""												
Adh6	GeneProduct	ncbigene:310903	""	ensembl:ENSRNOG00000069176	ncbigene:310903		uniprot:A0A8L2QGL3;uniprot:A0A8I6A108;uniprot:A0A8I5ZLG2;uniprot:A0A8I6ATS6								
Adh1c	GeneProduct	ncbigene:24172	""	ensembl:ENSRNOG00000012436	ncbigene:24172		uniprot:P06757;uniprot:A0A8L2R817								
Adh1	GeneProduct	ncbigene:24172	""	ensembl:ENSRNOG00000012436	ncbigene:24172		uniprot:P06757;uniprot:A0A8L2R817								
Cyp4a11	GeneProduct	ncbigene:24306	""	ensembl:ENSRNOG00000066487	ncbigene:24306		uniprot:F1M7X1;uniprot:P20816								
Adh4	GeneProduct	ncbigene:29646	""	ensembl:ENSRNOG00000046357	ncbigene:100145871;ncbigene:29646		uniprot:Q7TQ90;uniprot:F7F9U1;uniprot:P12711;uniprot:A1L128								
Aldh1a1	GeneProduct	ncbigene:24188	""	ensembl:ENSRNOG00000017619	ncbigene:24188		uniprot:A0A0H2UHP1;uniprot:A0A8I6AP49								
Adh7	GeneProduct	ncbigene:171178	""	ensembl:ENSRNOG00000032959	ncbigene:171178		uniprot:G3V7J9;uniprot:A0A8I5ZKA5								
Aldh2	GeneProduct	ncbigene:29539	""	ensembl:ENSRNOG00000037815	ncbigene:304500;ncbigene:29539		uniprot:F1LN88;uniprot:M0R6F2;uniprot:A0A8I6AVL2;uniprot:A0A8I6AGW1;uniprot:A0A8I6AV92;uniprot:B5DEF6;uniprot:A0A8I6A4Z6								
Cyp1a1	GeneProduct	ncbigene:24296	""	ensembl:ENSRNOG00000019500	ncbigene:24296		uniprot:P00185								
