Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI
Cyp2e1	GeneProduct	ncbigene:25086		ensembl:ENSRNOG00000012458	ncbigene:25086		uniprot:P05182;uniprot:A0A0G2K5X9			
Cyp1a2	GeneProduct	ncbigene:24297								
Cyp3a2	GeneProduct	ncbigene:266682		ensembl:ENSRNOG00000032560	ncbigene:266682		uniprot:Q06884;uniprot:A0A0G2JT98			
Cyp2d6	GeneProduct	ncbigene:170518								
Adh6	GeneProduct	ncbigene:310903		ensembl:ENSRNOG00000069176	ncbigene:310903		uniprot:Q5XI95			
Adh1c	GeneProduct	ncbigene:24172		ensembl:ENSRNOG00000012436	ncbigene:24172		uniprot:P06757;uniprot:A0A0G2JW98			
Adh1	GeneProduct	ncbigene:24172		ensembl:ENSRNOG00000012436	ncbigene:24172		uniprot:P06757;uniprot:A0A0G2JW98			
Cyp4a11	GeneProduct	ncbigene:24306		ensembl:ENSRNOG00000066487	ncbigene:24306		uniprot:F1M7X1;uniprot:P20816			
Adh4	GeneProduct	ncbigene:29646		ensembl:ENSRNOG00000046357	ncbigene:100145871;ncbigene:29646		uniprot:Q7TQ90;uniprot:P12711;uniprot:A1L128			
Aldh1a1	GeneProduct	ncbigene:24188		ensembl:ENSRNOG00000017619	ncbigene:24188		uniprot:A0A0H2UHP1			
Adh7	GeneProduct	ncbigene:171178		ensembl:ENSRNOG00000032959	ncbigene:171178		uniprot:G3V7J9			
Aldh2	GeneProduct	ncbigene:29539		ensembl:ENSRNOG00000037815	ncbigene:304500;ncbigene:29539		uniprot:F1LN88;uniprot:M0R6F2;uniprot:B5DEF6;uniprot:F1LSP2			
Cyp1a1	GeneProduct	ncbigene:24296		ensembl:ENSRNOG00000019500	ncbigene:24296		uniprot:P00185			
