Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI
D-mannose-6P	Metabolite	kegg.compound:C00275						wikidata:Q259546	chebi:48066;chebi:49728;chebi:48066;chebi:49728;chebi:17369	inchikey:NBSCHQHZLSJFNQ-RWOPYEJCSA-N;inchikey:NBSCHQHZLSJFNQ-QTVWNMPRSA-N
Beta-D-fructose-6P	Metabolite	kegg.compound:C05345						wikidata:Q27098371	chebi:16084;chebi:16084	inchikey:BGWGXPAPYGQALX-ARQDHWQXSA-N
GDP-D-mannose	Metabolite	kegg.compound:C00096						wikidata:Q217404	chebi:15820;chebi:15820	inchikey:MVMSCBBUIHUTGJ-GDJBGNAASA-N
D-Mannose 1-phosphate	Metabolite	kegg.compound:C00636						wikidata:Q27102901	chebi:18205;chebi:35374;chebi:18205	inchikey:HXXFSFRBOHSIMQ-RWOPYEJCSA-N
GDP-L-fucose	Metabolite	kegg.compound:C00325						wikidata:Q27108966	chebi:17009;chebi:17009;chebi:13332;chebi:13332	inchikey:LQEBEXMHBLQMDB-QIXZNPMTSA-N;inchikey:LQEBEXMHBLQMDB-JGQUBWHWSA-N
GDP-4-oxo-6-deoxy-D-mannose	Metabolite	kegg.compound:C01222						wikidata:Q27102151	chebi:16955;chebi:16955	inchikey:PNHLMHWWFOPQLK-BKUUWRAGSA-N
GDP-D-rhamnose	Metabolite	kegg.compound:C03117						wikidata:Q27102509	chebi:17661;chebi:17661	inchikey:LQEBEXMHBLQMDB-GDJBGNAASA-N
L-fucolose-1P	Metabolite	kegg.compound:C01099						wikidata:Q27102011	chebi:16647;chebi:16647;chebi:6220	inchikey:KNYGWWDTPGSEPD-LFRDXLMFSA-N
glycerone-P	Metabolite	kegg.compound:C00111						wikidata:Q416915	chebi:16108;chebi:16108	inchikey:GNGACRATGGDKBX-UHFFFAOYSA-N
glyceraldehyde-3P	Metabolite	kegg.compound:C00118						wikidata:Q26992303	chebi:29052;chebi:29052	inchikey:LXJXRIRHZLFYRP-VKHMYHEASA-N
beta-D-fructose-(1,6)PP	Metabolite	kegg.compound:C05378						wikidata:Q414945	chebi:28013;chebi:28013	inchikey:RNBGYGVWRKECFJ-ARQDHWQXSA-N
D-fructose-1-P	Metabolite	kegg.compound:C01094						wikidata:Q27104412	chebi:139419;chebi:37515;chebi:139419;chebi:37515	inchikey:COCMFMBNEAMQMA-VGKGADPCSA-N;inchikey:RHKKZBWRNHGJEZ-VRPWFDPXSA-N;inchikey:RHKKZBWRNHGJEZ-ARQDHWQXSA-N
D-allulose-6P	Metabolite	kegg.compound:C18096						wikidata:Q27155424	chebi:81499;chebi:81499	inchikey:BGWGXPAPYGQALX-JDJSBBGDSA-N
D-allose-6P	Metabolite	kegg.compound:C02962						wikidata:Q27102731	chebi:17942;chebi:17942	inchikey:VFRROHXSMXFLSN-BGPJRJDNSA-N
manA	GeneProduct	eccode:5.3.1.8	Original kegg element: gene;26;mtu:Rv3255c							
manB	Protein	eccode:2.7.7.13	Original kegg element: gene;27;mtu:Rv3257c mtu:Rv3308							
pmmA	Protein	ncbiprotein:NP_217774	Original kegg element: gene;27;mtu:Rv3257c mtu:Rv3308							
pmmB	Protein	ncbiprotein:NP_217825	Original kegg element: gene;27;mtu:Rv3257c mtu:Rv3308							
gmdA	Protein	eccode:4.2.1.47	Original kegg element: gene;27;mtu:Rv3257c mtu:Rv3308							
epiA	Protein	eccode:1.1.1.271	Original kegg element: gene;27;mtu:Rv3257c mtu:Rv3308							
gca	Protein	eccode:1.1.1.281	Original kegg element: gene;27;mtu:Rv3257c mtu:Rv3308							
fucA	Protein	eccode:4.1.2.17	Original kegg element: gene;27;mtu:Rv3257c mtu:Rv3308							
tpi	Protein	eccode:5.3.1.1	Original kegg element: gene;27;mtu:Rv3257c mtu:Rv3308							
fba	Protein	eccode:4.1.2.13	Original kegg element: gene;27;mtu:Rv3257c mtu:Rv3308							
fba	Protein	eccode:4.1.2.13	Original kegg element: gene;27;mtu:Rv3257c mtu:Rv3308							
fpkA	Protein	eccode:2.7.1.90	Original kegg element: gene;27;mtu:Rv3257c mtu:Rv3308							
glpX	Protein	eccode:3.1.3.11	Original kegg element: gene;27;mtu:Rv3257c mtu:Rv3308							
pfkA	Protein	ncbiprotein:NP_217526	Original kegg element: gene;27;mtu:Rv3257c mtu:Rv3308							
pfkB	Protein	ncbiprotein:NP_216545	Original kegg element: gene;27;mtu:Rv3257c mtu:Rv3308							
RpiB	Protein	ncbiprotein:YP_177884	Original kegg element: gene;27;mtu:Rv3257c mtu:Rv3308							
