ID	Database	Citation
10488240	Pubmed	"A transmembrane hybrid-type histidine kinase in Arabidopsis functions as an osmosensor. Urao T, Yakubov B, Satoh R, Yamaguchi-Shinozaki K, Seki M, Hirayama T, et al. Plant Cell. 1999 Sep;11(9):1743–54.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/10488240"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/10488240"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/10488240"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
11717470	Pubmed	"Plant histidine kinases: an emerging picture of two-component signal transduction in hormone and environmental responses. Urao T, Yamaguchi-Shinozaki K, Shinozaki K. Sci STKE. 2001 Nov 20;2001(109):re18.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/11717470"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/11717470"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/11717470"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
15627710	Pubmed	"ATHK1 gene regulates signal transduction of osmotic stress in Arabidopsis thaliana. Hao GP, Wu ZY, Chen MS, Cao MQ, Pelletier G, Huang CL, et al. Zhi Wu Sheng Li Yu Fen Zi Sheng Wu Xue Xue Bao. 2004 Oct;30(5):553–60.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/15627710"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/15627710"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/15627710"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
17061125	Pubmed	"Genome-wide expression profiling of ARABIDOPSIS RESPONSE REGULATOR 7(ARR7) overexpression in cytokinin response. Lee DJ, Park JY, Ku SJ, Ha YM, Kim S, Kim MD, et al. Mol Genet Genomics. 2007 Feb;277(2):115–37.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/17061125"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/17061125"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/17061125"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
18077346	Pubmed	"Functional analysis of AHK1/ATHK1 and cytokinin receptor histidine kinases in response to abscisic acid, drought, and salt stress in Arabidopsis. Tran LSP, Urao T, Qin F, Maruyama K, Kakimoto T, Shinozaki K, et al. Proc Natl Acad Sci U S A. 2007 Dec 18;104(51):20623–8.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/18077346"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/18077346"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/18077346"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
18441212	Pubmed	"Analysis of the Arabidopsis histidine kinase ATHK1 reveals a connection between vegetative osmotic stress sensing and seed maturation. Wohlbach DJ, Quirino BF, Sussman MR. Plant Cell. 2008 Apr;20(4):1101–17.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/18441212"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/18441212"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/18441212"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
21841169	Pubmed	"Evidence for the localization of the Arabidopsis cytokinin receptors AHK3 and AHK4 in the endoplasmic reticulum. Caesar K, Thamm AMK, Witthöft J, Elgass K, Huppenberger P, Grefen C, et al. J Exp Bot. 2011 Nov;62(15):5571–80.  <a href=""http://www.ncbi.nlm.nih.gov/pubmed/21841169"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/21841169"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/21841169"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
