Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI
PKA	GeneProduct	ncbigene:25636		ensembl:ENSRNOG00000005257	ncbigene:25636		uniprot:A1L1M0			
PLC zeta	GeneProduct	ncbigene:497197		ensembl:ENSRNOG00000008514	ncbigene:497197		uniprot:Q5FX52			
PLC b2	GeneProduct	ncbigene:85240		ensembl:ENSRNOG00000058337	ncbigene:85240		uniprot:A0A0G2JZ43			
b2-AR	GeneProduct	ncbigene:24176		ensembl:ENSRNOG00000019217	ncbigene:24176		uniprot:Q8VBU7			
SYN1A	GeneProduct	ncbigene:24949		ensembl:ENSRNOG00000010365	ncbigene:24949		uniprot:P09951			
PLC b1	GeneProduct	ncbigene:24654		ensembl:ENSRNOG00000004810	ncbigene:24654		uniprot:R9PXY3;uniprot:F1M084			
PKC	GeneProduct	ncbigene:24681		ensembl:ENSRNOG00000054371	ncbigene:24681		uniprot:P63319			
CFTR	GeneProduct	ncbigene:24255		ensembl:ENSRNOG00000055103	ncbigene:24255		uniprot:A0A0G2K3B1			
PDZ2	GeneProduct	ncbigene:65144		ensembl:ENSRNOG00000000096	ncbigene:65144		uniprot:A0A0G2K8W0;uniprot:Q9JJ40			
PLC b3	GeneProduct	ncbigene:29322		ensembl:ENSRNOG00000021150	ncbigene:29322		uniprot:Q45QJ4			
AMPK	GeneProduct	ncbigene:78975		ensembl:ENSRNOG00000007706	ncbigene:78975		uniprot:G3V715			
SNAP23	GeneProduct	ncbigene:64630								
RACK1	GeneProduct	ncbigene:83427		ensembl:ENSRNOG00000052620	ncbigene:83427		uniprot:P63245;uniprot:A0A0G2JZE6			
Rho GTPase	GeneProduct	ncbigene:689752								
PDZ2	GeneProduct	ncbigene:65144		ensembl:ENSRNOG00000000096	ncbigene:65144		uniprot:A0A0G2K8W0;uniprot:Q9JJ40			
PP2A	GeneProduct	ncbigene:24672		ensembl:ENSRNOG00000005389	ncbigene:24672		uniprot:P63331			
Ezrin	GeneProduct	ncbigene:54319		ensembl:ENSRNOG00000018524	ncbigene:54319		uniprot:A0A0G2K890;uniprot:P31977			
NHERF2	Protein	ncbigene:116501		ensembl:ENSRNOG00000002997	ncbigene:116501		uniprot:G3V6D9			
PDZ1	Protein	ncbigene:65144		ensembl:ENSRNOG00000000096	ncbigene:65144		uniprot:A0A0G2K8W0;uniprot:Q9JJ40			
PDZ1	Protein	ncbigene:65144		ensembl:ENSRNOG00000000096	ncbigene:65144		uniprot:A0A0G2K8W0;uniprot:Q9JJ40			
NHERF1	Protein	ncbigene:59114		ensembl:ENSRNOG00000003232	ncbigene:59114		uniprot:Q9JJ19			
