Label	Type	Identifier	Database	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI
Malonyl-CoA	Metabolite	chebi:15531	Ce:CHEBI:15531:T						wikidata:Q27095293	chebi:15531;chebi:15531	inchikey:LTYOQGRJFJAKNA-DVVLENMVSA-N
VLDL	Metabolite	chebi:39027	Ce:CHEBI:39027:T						wikidata:Q419074	chebi:39027;chebi:39027	
Cholesterol	Metabolite	chebi:16113	Ce:CHEBI:16113:T						wikidata:Q43656	chebi:16113;chebi:16113	inchikey:HVYWMOMLDIMFJA-DPAQBDIFSA-N
HDL	Metabolite	chebi:47775	Ce:CHEBI:47775:T						wikidata:Q67322514	chebi:47775;chebi:47775	
LDL	Metabolite	chebi:47774	Ce:CHEBI:47774:T						wikidata:Q75298271	chebi:47774;chebi:47774	
Lipoprotein	Metabolite	chebi:6495	Ce:CHEBI:6495:T						wikidata:Q28350	chebi:6495;chebi:6495	
IDL	Metabolite	chebi:132933	Ce:CHEBI:132933:T						wikidata:Q2619230	chebi:132933;chebi:132933	
Fatty acid	Metabolite	chebi:35366	Ce:CHEBI:35366:T						wikidata:Q61476	chebi:35366;chebi:35366	
Acyl-CoA	Metabolite	chebi:15522	Ce:CHEBI:15522:T						wikidata:Q27098077	chebi:15522;chebi:15522	inchikey:SXMOKYXNAPLNCW-GORZOVPNSA-N;inchikey:SXMOKYXNAPLNCW-BWGWEBPHSA-N
Triglyceride	Metabolite	chebi:17855	Ce:CHEBI:17855:T						wikidata:Q186319	chebi:17855;chebi:17855	
Triglyceride	Metabolite	chebi:17855	Ce:CHEBI:17855:T						wikidata:Q186319	chebi:17855;chebi:17855	
Cholesterol	Metabolite	chebi:16113	Ce:CHEBI:16113:T						wikidata:Q43656	chebi:16113;chebi:16113	inchikey:HVYWMOMLDIMFJA-DPAQBDIFSA-N
Triglyceride	Metabolite	chebi:17855	Ce:CHEBI:17855:T						wikidata:Q186319	chebi:17855;chebi:17855	
Phospholipid	Metabolite	chebi:16247	Ce:CHEBI:16247:T						wikidata:Q186915	chebi:16247;chebi:16247	
DGAT2	GeneProduct	ensembl:ENSG00000062282	En:ENSG00000062282:T								
GCKR	GeneProduct	ensembl:ENSG00000084734	En:ENSG00000084734:T								
FAS	GeneProduct	ensembl:ENSG00000026103	En:ENSG00000026103:T								
SEL1L	GeneProduct	ensembl:ENSG00000071537	En:ENSG00000071537:T								
APOA2	GeneProduct	ensembl:ENSG00000158874	En:ENSG00000158874:T								
LRP1	GeneProduct	ensembl:ENSG00000123384	En:ENSG00000123384:T								
APOA4	GeneProduct	ensembl:ENSG00000110244	En:ENSG00000110244:T								
CETP	GeneProduct	ensembl:ENSG00000087237	En:ENSG00000087237:T								
LIPC	GeneProduct	ensembl:ENSG00000166035	En:ENSG00000166035:T								
APOA1	GeneProduct	ensembl:ENSG00000118137	En:ENSG00000118137:T								
LCAT	GeneProduct	ensembl:ENSG00000213398	En:ENSG00000213398:T								
LDLR	GeneProduct	ensembl:ENSG00000130164	En:ENSG00000130164:T								
PLTP	GeneProduct	ensembl:ENSG00000100979	En:ENSG00000100979:T								
LPL	GeneProduct	ensembl:ENSG00000175445	En:ENSG00000175445:T								
LMF1	GeneProduct	ensembl:ENSG00000103227	En:ENSG00000103227:T								
GPIHBP1	GeneProduct	ensembl:ENSG00000277494	En:ENSG00000277494:T								
GPIHBP1	GeneProduct	ensembl:ENSG00000277494	En:ENSG00000277494:T								
LPL	GeneProduct	ensembl:ENSG00000175445	En:ENSG00000175445:T								
APOC2	GeneProduct	ensembl:ENSG00000234906	En:ENSG00000234906:T								
APOA5	GeneProduct	ensembl:ENSG00000110243	En:ENSG00000110243:T								
CETP	GeneProduct	ensembl:ENSG00000087237	En:ENSG00000087237:T								
CETP	GeneProduct	ensembl:ENSG00000087237	En:ENSG00000087237:T								
PDIA2	GeneProduct	ensembl:ENSG00000185615	En:ENSG00000185615:T								
MTTP	GeneProduct	ensembl:ENSG00000138823	En:ENSG00000138823:T								
Glucokinase	Protein	uniprot:P35557	S:P35557:T								
Acyl-CoA synthetase	Protein	ensembl:ENSG00000154930	En:ENSG00000154930:T								
