Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI
DLL3	GeneProduct	ensembl:ENSG00000090932		ensembl:ENSG00000090932	ncbigene:10683	hgnc.symbol:DLL3	uniprot:M0R177;uniprot:Q9NYJ7			
TBX6	GeneProduct	ensembl:ENSG00000149922		ensembl:ENSG00000149922	ncbigene:6911	hgnc.symbol:TBX6	uniprot:O95947			
EPHA4	GeneProduct	ensembl:ENSG00000116106		ensembl:ENSG00000116106	ncbigene:2043	hgnc.symbol:EPHA4	uniprot:H7C1N8;uniprot:C9JFX5;uniprot:C9JEM6;uniprot:F8WBU0;uniprot:C9JIX8;uniprot:A1MA61;uniprot:H7C2W7;uniprot:E9PG71;uniprot:F5GZZ5;uniprot:P54764			
LFNG	GeneProduct	ensembl:ENSG00000106003		ensembl:ENSG00000106003	ncbigene:3955	hgnc.symbol:LFNG	uniprot:Q8NES3			
RIPPLY2	GeneProduct	ensembl:ENSG00000203877		ensembl:ENSG00000203877	ncbigene:134701	hgnc.symbol:RIPPLY2	uniprot:Q5TAB7			
HES7	GeneProduct	ensembl:ENSG00000179111		ensembl:ENSG00000179111	ncbigene:84667	hgnc.symbol:HES7	uniprot:J3KSH6;uniprot:Q9BYE0			
DLL1	GeneProduct	ensembl:ENSG00000198719		ensembl:ENSG00000198719	ncbigene:28514	hgnc.symbol:DLL1	uniprot:A0A0D9SF76;uniprot:A0A384P5C6;uniprot:O00548			
NOTCH1	GeneProduct	ensembl:ENSG00000148400		ensembl:ENSG00000148400	ncbigene:4851	hgnc.symbol:NOTCH1	uniprot:P46531			
MESP2	GeneProduct	ensembl:ENSG00000188095		ensembl:ENSG00000188095	ncbigene:145873	hgnc.symbol:MESP2	uniprot:Q0VG99;uniprot:H0YKZ5			
