Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI
Phosphate	Metabolite	hmdb:HMDB0001429							chebi:26078;chebi:26078	inchikey:NBIIXXVUZAFLBC-UHFFFAOYSA-N
S-Adenosylhomocysteine	Metabolite	hmdb:HMDB0000939							chebi:16680;chebi:16680	inchikey:ZJUKTBDSGOFHSH-WFMPWKQPSA-N
S-Adenosylmethionine	Metabolite	hmdb:HMDB0001185							chebi:15414;chebi:15414	inchikey:MEFKEPWMEQBLKI-AIRLBKTGSA-O
ATP	Metabolite	hmdb:HMDB0000538							chebi:15422;chebi:15422	inchikey:ZKHQWZAMYRWXGA-KQYNXXCUSA-N
S-Adenosylmethionine	Metabolite	hmdb:HMDB0001185							chebi:15414;chebi:15414	inchikey:MEFKEPWMEQBLKI-AIRLBKTGSA-O
L-Methionine	Metabolite	hmdb:HMDB0000696							chebi:16643;chebi:16643	inchikey:FFEARJCKVFRZRR-BYPYZUCNSA-N
Phosphate	Metabolite	hmdb:HMDB0001429							chebi:26078;chebi:26078	inchikey:NBIIXXVUZAFLBC-UHFFFAOYSA-N
S-Adenosylmethionine	Metabolite	hmdb:HMDB0001185							chebi:15414;chebi:15414	inchikey:MEFKEPWMEQBLKI-AIRLBKTGSA-O
S-Adenosylhomocysteine	Metabolite	hmdb:HMDB0000939							chebi:16680;chebi:16680	inchikey:ZJUKTBDSGOFHSH-WFMPWKQPSA-N
S-Adenosylhomocysteine	Metabolite	hmdb:HMDB0000939							chebi:16680;chebi:16680	inchikey:ZJUKTBDSGOFHSH-WFMPWKQPSA-N
MAT1A	GeneProduct	ensembl:ENSG00000151224		ensembl:ENSG00000151224	ncbigene:4143	hgnc.symbol:MAT1A	uniprot:Q00266;uniprot:B1ANE6			
MAT2A	GeneProduct	ensembl:ENSG00000168906		ensembl:ENSG00000168906	ncbigene:4144	hgnc.symbol:MAT2A	uniprot:A0A140VJP5;uniprot:P31153			
TPMT	GeneProduct	ensembl:ENSG00000137364		ensembl:ENSG00000137364	ncbigene:7172	hgnc.symbol:TPMT	uniprot:P51580;uniprot:A0A024QZW0			
PNMT	GeneProduct	ensembl:ENSG00000141744		ensembl:ENSG00000141744	ncbigene:5409	hgnc.symbol:PNMT	uniprot:A8MT87;uniprot:J3QRI3;uniprot:P11086			
MAT2B	GeneProduct	ensembl:ENSG00000038274		ensembl:ENSG00000038274	ncbigene:27430	hgnc.symbol:MAT2B	uniprot:A0A140VJP2;uniprot:Q9NZL9;uniprot:E5RJR3;uniprot:H7C0X7			
HNMT	GeneProduct	ensembl:ENSG00000150540		ensembl:ENSG00000150540	ncbigene:3176	hgnc.symbol:HNMT	uniprot:P50135			
INMT	GeneProduct	ensembl:ENSG00000241644		ensembl:ENSG00000241644	ncbigene:11185	hgnc.symbol:INMT	uniprot:O95050			
NNMT	GeneProduct	ensembl:ENSG00000166741		ensembl:ENSG00000166741	ncbigene:4837	hgnc.symbol:NNMT	uniprot:P40261;uniprot:Q6FH49			
COMT	GeneProduct	ensembl:ENSG00000093010		ensembl:ENSG00000093010	ncbigene:1312	hgnc.symbol:COMT	uniprot:H7BZ45;uniprot:A0A7I2V3G7;uniprot:E7EMS6;uniprot:P21964;uniprot:A0A7I2V370;uniprot:A0A140VJG8;uniprot:E7EUU8;uniprot:F8WBW9			
